Exchange,Token,LotSize,Symbol,TradingSymbol,Instrument,TickSize,
BSE,977432,1,RROFSL28,RROFSL28,F,0.01,
BSE,977431,1,1050ESPL28,1050ESPL28,F,0.01,
BSE,977430,1,105SISL27,105SISL27,F,0.01,
BSE,977429,1,734KMIL27,734KMIL27,F,0.01,
BSE,977428,1,737KMIL28,737KMIL28,F,0.01,
BSE,977427,1,1116FFSL27,1116FFSL27,F,0.01,
BSE,977426,1,1180FCPL29,1180FCPL29,F,0.01,
BSE,977425,1,1175FCPL28,1175FCPL28,F,0.01,
BSE,977424,1,0MCIBPL27A,0MCIBPL27A,F,0.01,
BSE,977423,1,115KFL29,115KFL29,F,0.01,
BSE,977422,1,875MFSL28,875MFSL28,F,0.01,
BSE,977421,1,815MPFL27,815MPFL27,F,0.01,
BSE,977420,1,1095SFL27A,1095SFL27A,F,0.01,
BSE,977419,1,1170MML27,1170MML27,F,0.01,
BSE,977418,1,1175AFPL32,1175AFPL32,F,0.01,
BSE,977417,1,1135NFL27,1135NFL27,F,0.01,
BSE,977416,1,760TFL30,760TFL30,F,0.01,
BSE,977415,1,1325SRFC31,1325SRFC31,F,0.01,
BSE,977414,1,955SLICL35,955SLICL35,F,0.01,
BSE,977413,1,11CFPL27A,11CFPL27A,F,0.01,
BSE,977412,1,1095FFL28A,1095FFL28A,F,0.01,
BSE,977411,1,11MGFLD27,11MGFLD27,F,0.01,
BSE,977410,1,1115AFPL27,1115AFPL27,F,0.01,
BSE,977409,1,NWFL231225,NWFL231225,F,0.01,
BSE,977408,1,875NJCPL27,875NJCPL27,F,0.01,
BSE,977407,1,983OFSL27,983OFSL27,F,0.01,
BSE,977406,1,14AFIL28,14AFIL28,F,0.01,
BSE,977405,1,1150SSFL28,1150SSFL28,F,0.01,
BSE,977404,1,11SSFL28A,11SSFL28A,F,0.01,
BSE,977403,1,115SSFL28,115SSFL28,F,0.01,
BSE,977402,1,122FCPL29,122FCPL29,F,0.01,
BSE,977401,1,76841PFL28,76841PFL28,F,0.01,
BSE,977400,1,EEL221225,EEL221225,F,0.01,
BSE,977399,1,12CVL27,12CVL27,F,0.01,
BSE,977398,1,896AKCFL28,896AKCFL28,F,0.01,
BSE,977397,1,1065SRFC28,1065SRFC28,F,0.01,
BSE,977396,1,1050SRFC28,1050SRFC28,F,0.01,
BSE,977395,1,1080NCPL31,1080NCPL31,F,0.01,
BSE,977394,1,1050GFL27A,1050GFL27A,F,0.01,
BSE,977393,1,BIREI30RR,BIREI30RR,F,0.01,
BSE,977392,1,115VFPL30,115VFPL30,F,0.01,
BSE,977391,1,89NWFL28,89NWFL28,F,0.01,
BSE,977390,1,725TPCL30,725TPCL30,F,0.01,
BSE,977389,1,705TPCL28,705TPCL28,F,0.01,
BSE,977388,1,1125EGFS27,1125EGFS27,F,0.01,
BSE,977387,1,1125SSFL27,1125SSFL27,F,0.01,
BSE,977386,1,0MML30,0MML30,F,0.01,
BSE,977385,1,0MCHP30,0MCHP30,F,0.01,
BSE,977384,1,698DLFC30,698DLFC30,F,0.01,
BSE,977383,1,1250ACAP27,1250ACAP27,F,0.01,
BSE,977382,1,999UCL29,999UCL29,F,0.01,
BSE,977381,1,1095FFL28,1095FFL28,F,0.01,
BSE,977380,1,985MML27,985MML27,F,0.01,
BSE,977379,1,995MML28,995MML28,F,0.01,
BSE,977378,1,AHRT151225,AHRT151225,F,0.01,
BSE,977377,1,8MPFL27,8MPFL27,F,0.01,
BSE,977376,1,NSL151225,NSL151225,F,0.01,
BSE,977375,1,IFSL121225,IFSL121225,F,0.01,
BSE,977374,1,837CFSL28,837CFSL28,F,0.01,
BSE,977373,1,824CFSL27,824CFSL27,F,0.01,
BSE,977372,1,698NST35,698NST35,F,0.01,
BSE,977371,1,845PDL2027,845PDL2027,F,0.01,
BSE,977370,1,698HUDC32,698HUDC32,F,0.01,
BSE,977369,1,1375MML28,1375MML28,F,0.01,
BSE,977368,1,880MFL2028,880MFL2028,F,0.01,
BSE,977367,1,12ACAP27,12ACAP27,F,0.01,
BSE,977366,1,73SCCL29,73SCCL29,F,0.01,
BSE,977365,1,1156NFPL30,1156NFPL30,F,0.01,
BSE,977364,1,702PGCIL35,702PGCIL35,F,0.01,
BSE,977363,1,1225FCPL28,1225FCPL28,F,0.01,
BSE,977362,1,895NWIL27,895NWIL27,F,0.01,
BSE,977361,1,1107FCL27,1107FCL27,F,0.01,
BSE,977360,1,1002AFPL30,1002AFPL30,F,0.01,
BSE,977359,1,725RJCL28,725RJCL28,F,0.01,
BSE,977358,1,85PDL28,85PDL28,F,0.01,
BSE,977357,1,751THDC28,751THDC28,F,0.01,
BSE,977356,1,1025NBS27A,1025NBS27A,F,0.01,
BSE,977355,1,886SCL30,886SCL30,F,0.01,
BSE,977354,1,879SCL30,879SCL30,F,0.01,
BSE,977353,1,880IFSL27,880IFSL27,F,0.01,
BSE,977352,1,0360OAM27,0360OAM27,F,0.01,
BSE,977351,1,0KPDL35,0KPDL35,F,0.01,
BSE,977350,1,69601MBP28,69601MBP28,F,0.01,
BSE,977349,1,76SFL32,76SFL32,F,0.01,
BSE,977348,1,SGHPL29A,SGHPL29A,F,0.01,
BSE,977347,1,1175MGFL30,1175MGFL30,F,0.01,
BSE,977346,1,895NWIL28,895NWIL28,F,0.01,
BSE,977345,1,1135AFSL27,1135AFSL27,F,0.01,
BSE,977344,1,1025STL27,1025STL27,F,0.01,
BSE,977343,1,886OPL28,886OPL28,F,0.01,
BSE,977342,1,970MML27,970MML27,F,0.01,
BSE,977341,1,1116AFL27A,1116AFL27A,F,0.01,
BSE,977340,1,89CGL27,89CGL27,F,0.01,
BSE,977339,1,SGHPL29,SGHPL29,F,0.01,
BSE,977338,100000,115RFALE28,115RFALE28,F,0.01,
BSE,977337,1,11HFL31,11HFL31,F,0.01,
BSE,977336,1,1050HFL29,1050HFL29,F,0.01,
BSE,977335,1,SFL011225,SFL011225,F,0.01,
BSE,977334,1,0IRFC35,0IRFC35,F,0.01,
BSE,977333,1,1155KFL27,1155KFL27,F,0.01,
BSE,977332,1,739IIL31,739IIL31,F,0.01,
BSE,977331,1,1050KSL27,1050KSL27,F,0.01,
BSE,977330,1,1020MFL27,1020MFL27,F,0.01,
BSE,977329,1,89MFSL27,89MFSL27,F,0.01,
BSE,977328,1,830JMFSL27,830JMFSL27,F,0.01,
BSE,977327,1,1425CIPL27,1425CIPL27,F,0.01,
BSE,977326,1,950UCL27,950UCL27,F,0.01,
BSE,977325,1,1075MML27B,1075MML27B,F,0.01,
BSE,977324,1,795AVHFL30,795AVHFL30,F,0.01,
BSE,977323,1,785ISFCL30,785ISFCL30,F,0.01,
BSE,977322,1,NWFL251125,NWFL251125,F,0.01,
BSE,977321,1,708PFCL35,708PFCL35,F,0.01,
BSE,977320,1,727ABL35,727ABL35,F,0.01,
BSE,977319,1,739AIEY36,739AIEY36,F,0.01,
BSE,977318,1,1085MGFL26,1085MGFL26,F,0.01,
BSE,977317,1,1125FFSL28,1125FFSL28,F,0.01,
BSE,977316,1,11KFL31,11KFL31,F,0.01,
BSE,977315,1,1115FFSL27,1115FFSL27,F,0.01,
BSE,977314,1,925CGCL28B,925CGCL28B,F,0.01,
BSE,977313,1,921SKFL30,921SKFL30,F,0.01,
BSE,977312,1,838ABCLPER,838ABCLPER,F,0.01,
BSE,977311,1,735AFL30,735AFL30,F,0.01,
BSE,977310,1,144AFIL27,144AFIL27,F,0.01,
BSE,977309,1,12ACAPL27B,12ACAPL27B,F,0.01,
BSE,977308,1,745MRHFL30,745MRHFL30,F,0.01,
BSE,977307,1,895NWFL28,895NWFL28,F,0.01,
BSE,977306,1,12MML27,12MML27,F,0.01,
BSE,977305,1,970AFPL28,970AFPL28,F,0.01,
